"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Cancer Research Tumor Suppressor Genes: Volume 1: Pathways and Isolation Strategies","Humana Press","SpringerProtocols","978-0-89603-986-5","",0,0,1,0,33,0,0,0,0,0,0,0,34
"Cancer Research Tumor Suppressor Genes: Volume 2 Regulation, Function, and Medicinal Applications","Humana Press","SpringerProtocols","978-0-89603-987-2","",0,0,0,0,42,0,2,0,1,0,1,0,46
"Cancer Research p53 Protocols","Humana Press","SpringerProtocols","978-1-58829-106-6","",2,1,2,0,18,0,2,0,0,0,0,0,25
"Cell Biology Adhesion Protein Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-417-4","",1,3,2,0,27,0,0,0,0,0,1,0,34
"Cell Biology Adipose Tissue Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-747-2","",0,2,0,0,0,0,0,0,0,2,0,2,6
"Cell Biology Advanced Protocols in Oxidative Stress I","Humana Press","SpringerProtocols","978-1-60327-218-6","",1,1,4,0,31,1,0,1,0,1,0,0,40
"Cell Biology Affinity Chromatography: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-659-7","",0,1,24,4,23,1,0,0,3,6,0,0,62
"Cell Biology Angiogenesis Protocols","Humana Press","SpringerProtocols","978-0-89603-698-7","",2,6,0,2,2,18,1,2,0,0,1,0,34
"Cell Biology Angiogenesis Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-58829-907-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Animal Cell Culture","Humana Press","SpringerProtocols","978-0-89603-150-0","",3,1,1,4,59,3,5,0,3,3,3,3,88
"Cell Biology Animal Cell Electroporation and Electrofusion Protocols","Humana Press","SpringerProtocols","978-0-89603-304-7","",4,2,1,30,32,0,1,0,0,2,1,3,76
"Cell Biology Antisense Therapeutics - 1","Humana Press","SpringerProtocols","978-0-89603-305-4","",0,0,0,0,0,14,0,0,0,0,0,0,14
"Cell Biology Antisense Therapeutics - 2","Humana Press","SpringerProtocols","978-1-58829-205-6","",0,1,0,1,0,16,2,0,0,0,0,0,20
"Cell Biology Apoptosis Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-873-8","",4,2,0,0,19,1,4,1,0,0,0,5,36
"Cell Biology Apoptosis: Methods and Protocols, Second Edition","Humana Press","SpringerProtocols","978-1-60327-016-8","",0,0,0,0,0,0,0,0,0,22,1,0,23
"Cell Biology Autophagosome and Phagosome","Humana Press","SpringerProtocols","978-1-58829-853-9","",0,4,7,4,48,5,0,2,0,26,0,26,122
"Cell Biology AvidinndashBiotin Interactions: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-583-5","",1,2,0,2,18,0,0,0,0,1,0,5,29
"Cell Biology B Cell Protocols","Humana Press","SpringerProtocols","978-1-58829-347-3","",10,5,0,2,21,0,1,0,0,0,4,3,46
"Cell Biology Basic Cell Culture Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-441-9","",0,0,0,3,39,3,0,1,2,1,1,0,50
"Cell Biology Basic Cell Culture Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-284-1","",5,7,1,4,27,2,8,1,2,28,3,0,88
"Cell Biology Biomembrane Protocols: I. Isolation and Analysis","Humana Press","SpringerProtocols","978-0-89603-236-1","",3,3,1,0,28,2,0,1,4,0,0,2,44
"Cell Biology Biomembrane Protocols: II. Architecture and Function","Humana Press","SpringerProtocols","978-0-89603-250-7","",0,0,2,2,24,0,3,1,0,1,0,0,33
"Cell Biology Bone Marrow and Stem Cell Transplantation","Humana Press","SpringerProtocols","978-1-58829-595-8","",0,0,0,0,0,15,0,0,0,0,0,0,15
"Cell Biology Calcium Signaling Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-442-5","",0,8,1,1,22,2,1,1,0,0,1,0,37
"Cell Biology Capillary Electrophoresis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-539-2","",0,0,0,1,33,1,0,0,0,0,1,0,36
"Cell Biology Cell Cycle Checkpoint Control Protocols","Humana Press","SpringerProtocols","978-1-58829-115-8","",7,2,5,0,29,0,0,0,1,2,1,0,47
"Cell Biology Cell Cycle Control and Dysregulation Protocols: Cyclins, Cyclin-Dependent Kinases, and Other Factors","Humana Press","SpringerProtocols","978-0-89603-949-0","",0,0,1,2,23,1,0,0,0,2,0,0,29
"Cell Biology Cell Cycle Control: Mechanisms and Protocols","Humana Press","SpringerProtocols","978-1-58829-144-8","",5,0,1,3,27,0,2,3,0,0,0,0,41
"Cell Biology Cell Fusion: Overviews and Methods","Humana Press","SpringerProtocols","978-1-58829-911-6","",3,3,5,2,28,0,3,0,0,23,4,0,71
"Cell Biology Cell Migration: Developmental Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-382-4","",1,12,3,4,27,1,8,2,4,3,3,1,69
"Cell Biology Cell-Cell Interactions: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-523-1","",0,3,1,2,24,1,0,1,0,23,0,0,55
"Cell Biology Chemotaxis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-197-4","",0,0,0,0,0,0,0,0,0,6,0,7,13
"Cell Biology Chromatin Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-58829-873-7","",0,0,0,0,0,0,0,0,1,0,0,0,1
"Cell Biology Circadian Rhythms: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-417-3","",16,0,5,4,59,7,3,2,3,18,12,3,132
"Cell Biology Clinical Applications of Capillary Electrophoresis","Humana Press","SpringerProtocols","978-0-89603-639-0","",1,1,0,0,0,22,0,0,0,0,0,0,24
"Cell Biology Cryopreservation and Freeze-Drying Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-296-5","",9,0,0,0,23,0,0,0,0,0,0,0,32
"Cell Biology Cytoskeleton Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-60761-375-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Cytoskeleton Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-771-7","",3,8,4,1,22,1,1,2,1,0,0,0,43
"Cell Biology DNA Repair Protocols: Eukaryotic Systems","Humana Press","SpringerProtocols","978-0-89603-802-8","",2,1,4,0,52,0,0,0,0,1,0,0,60
"Cell Biology Dendritic Cell Protocols - 1","Humana Press","SpringerProtocols","978-1-60761-420-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Developmental Biology Protocols","Humana Press","SpringerProtocols","978-0-89603-854-7","",3,2,4,1,43,0,0,0,0,2,2,0,57
"Cell Biology Developmental Biology Protocols: Volume I","Humana Press","SpringerProtocols","978-0-89603-852-3","",1,3,2,0,57,0,1,0,0,2,1,0,67
"Cell Biology Developmental Biology Protocols: Volume II","Humana Press","SpringerProtocols","978-0-89603-853-0","",3,4,1,0,48,2,4,3,0,2,1,1,69
"Cell Biology Dictyostelium discoideum Protocols","Humana Press","SpringerProtocols","978-1-58829-623-8","",0,6,0,1,3,0,3,2,4,34,2,0,55
"Cell Biology Differential Display Methods and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-489-1","",0,1,1,0,24,0,0,0,0,0,0,0,26
"Cell Biology Differential Display Methods and Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-338-1","",0,1,0,0,20,0,0,0,0,0,0,0,21
"Cell Biology Directed Enzyme Evolution: Screening and Selection Methods","Humana Press","SpringerProtocols","978-1-58829-286-5","",0,0,0,16,34,0,0,0,0,1,0,0,51
"Cell Biology Drosophila: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-817-1","",3,2,1,4,0,3,3,0,8,30,1,1,56
"Cell Biology Electrochemotherapy, Electrogenetherapy, and Transdermal Drug Delivery: Electrically Mediated Delivery of Molecules to Cells","Humana Press","SpringerProtocols","978-0-89603-606-2","",0,0,0,0,1,39,1,0,0,0,0,0,41
"Cell Biology Embryonic Stem Cell Protocols: Volume 1: Isolation and Characterization","Humana Press","SpringerProtocols","978-1-58829-498-2","",4,1,0,2,67,3,2,2,0,2,2,1,86
"Cell Biology Embryonic Stem Cell Protocols: Volume 2: Differentiation Models","Humana Press","SpringerProtocols","978-1-58829-784-6","",6,2,1,0,29,0,0,1,2,33,1,1,76
"Cell Biology Embryonic Stem Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-881-3","",7,8,0,30,36,0,2,1,1,45,1,0,131
"Cell Biology Enzymes of Molecular Biology","Humana Press","SpringerProtocols","978-0-89603-322-1","",2,0,0,1,20,1,2,2,0,0,1,0,29
"Cell Biology Epidermal Cells: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-60761-379-4","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Epidermal Cells: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-267-4","",1,3,3,3,44,0,17,5,0,46,0,2,124
"Cell Biology Epidermal Growth Factor: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-421-0","",1,0,0,0,15,1,1,0,0,0,0,0,18
"Cell Biology Experiments in Molecular Biology","Humana Press","SpringerProtocols","978-0-89603-082-4","",5,1,0,3,0,24,3,1,0,3,0,2,42
"Cell Biology Extracellular Matrix Protocols","Humana Press","SpringerProtocols","978-0-89603-624-6","",1,5,1,2,30,1,1,1,0,0,0,0,42
"Cell Biology Extracellular Matrix Protocols: Second Edition","Humana Press","SpringerProtocols","978-1-58829-984-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Flow Cytometry Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-354-2","",0,0,3,0,22,1,0,0,0,23,1,0,50
"Cell Biology GTPase Protocols: The Ras Superfamily","Humana Press","SpringerProtocols","978-0-89603-934-6","",1,4,0,3,22,3,2,0,0,5,0,1,41
"Cell Biology Genetic Modification of Hematopoietic Stem Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-980-2","",2,4,4,2,36,1,3,0,2,0,6,6,66
"Cell Biology Germ Cell Protocols: Volume 1: Sperm and Oocyte Analysis","Humana Press","SpringerProtocols","978-1-58829-121-9","",1,0,0,0,21,1,0,0,0,0,0,0,23
"Cell Biology Germ Cell Protocols: Volume 2: Molecular Embryo Analysis, Live Imaging, Transgenesis, and Cloning","Humana Press","SpringerProtocols","978-1-58829-257-5","",4,0,4,1,26,0,2,1,1,0,0,0,39
"Cell Biology Germline Stem Cells","Humana Press","SpringerProtocols","978-1-60327-213-1","",2,0,0,0,17,0,0,0,2,21,2,1,45
"Cell Biology Hedgehog Signaling Protocols","Humana Press","SpringerProtocols","978-1-58829-692-4","",2,3,1,0,20,7,2,1,1,1,1,3,42
"Cell Biology Hematopoietic Stem Cell Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-868-3","",2,2,2,1,23,0,10,1,0,4,0,0,45
"Cell Biology Hematopoietic Stem Cell Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-812-7","",1,1,0,0,5,21,0,0,25,2,2,0,57
"Cell Biology Histology Protocols","Humana Press","SpringerProtocols","978-1-60327-344-2","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Human Cell Culture Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-335-1","",1,2,1,0,1,42,5,0,0,2,0,0,54
"Cell Biology Human Cell Culture Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-222-3","",5,0,0,1,3,25,3,2,0,3,2,0,44
"Cell Biology Human Embryogenesis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-008-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Human Embryonic Stem Cell Protocols - 1","Humana Press","SpringerProtocols","978-1-60761-368-8","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Human Embryonic Stem Cell Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-497-5","",1,1,0,0,22,1,0,0,0,1,0,0,26
"Cell Biology Immobilization of Enzymes and Cells - 1","Humana Press","SpringerProtocols","978-0-89603-386-3","",0,0,2,0,1,39,0,0,0,0,0,0,42
"Cell Biology In Situ Hybridization Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-686-4","",0,0,1,0,21,0,0,0,0,1,1,0,24
"Cell Biology In Situ Hybridization Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-402-9","",0,0,0,0,20,1,1,0,0,2,0,0,24
"Cell Biology In Vitro Mutagenesis Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-332-0","",2,4,2,0,36,3,3,0,2,4,2,5,63
"Cell Biology Lipidomics: Volume 1: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-321-3","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Cell Biology Lipidomics: Volume 2: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-324-4","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Cell Biology Liposome Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-845-5","",0,0,1,0,15,0,0,0,0,1,0,6,23
"Cell Biology Liposomes: Methods and Protocols, Volume 2: Biological Membrane Models","Humana Press","SpringerProtocols","978-1-60761-446-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Matrix Metalloproteinase Protocols","Humana Press","SpringerProtocols","978-0-89603-733-5","",1,0,0,0,35,0,0,1,0,0,5,0,42
"Cell Biology Meiosis: Volume 1, Molecular and Genetic Methods","Humana Press","SpringerProtocols","978-1-934115-66-4","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Meiosis: Volume 2, Cytological Methods","Humana Press","SpringerProtocols","978-1-60761-102-8","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Membrane Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-309-1","",2,3,5,3,22,0,5,2,2,28,3,3,78
"Cell Biology Membrane Transporters: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-104-2","",0,2,0,4,19,0,0,10,2,1,0,0,38
"Cell Biology Mesenchymal Stem Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-771-6","",1,1,0,0,12,0,0,2,0,12,2,1,31
"Cell Biology Microtubule Protocols","Humana Press","SpringerProtocols","978-1-58829-642-9","",1,1,1,1,3,24,2,1,1,10,0,10,55
"Cell Biology Mitochondria: Practical Protocols","Humana Press","SpringerProtocols","978-1-58829-667-2","",5,4,2,1,39,4,3,0,1,2,1,1,63
"Cell Biology Mitochondrial DNA: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-1-934115-60-2","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Cell Biology Mitosis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-992-5","",0,0,0,0,0,0,0,0,1,0,0,1,2
"Cell Biology Molecular Embryology: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-431-9","",1,1,5,0,62,2,0,3,3,56,0,0,133
"Cell Biology Molecular Embryology: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-387-0","",3,3,5,1,52,3,0,1,0,1,0,3,72
"Cell Biology Molecular Epidemiology of Microorganisms: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-998-7","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Molecular Methods in Developmental Biology: Xenopus and Zebrafish","Humana Press","SpringerProtocols","978-0-89603-790-8","",3,3,6,0,21,1,1,1,1,0,2,0,39
"Cell Biology Neural Cell Transplantation: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-930-7","",0,0,0,0,0,0,0,0,0,1,0,0,1
"Cell Biology Neural Stem Cells: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-846-1","",0,33,2,0,34,0,3,0,3,0,61,1,137
"Cell Biology Neural Stem Cells: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-964-3","",2,2,0,0,32,0,1,1,2,1,0,0,41
"Cell Biology Nonviral Vectors for Gene Therapy Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-712-0","",2,0,0,0,0,23,0,2,2,0,1,1,31
"Cell Biology Nuclear Reprogramming: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-379-4","",2,3,0,2,23,1,0,0,0,0,0,0,31
"Cell Biology Nuclear Transfer Protocols: Cell Reprogramming and Transgenesis","Humana Press","SpringerProtocols","978-1-58829-280-3","",0,0,0,0,24,0,0,0,0,1,0,0,25
"Cell Biology Nuclease Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-679-6","",0,0,0,0,34,0,0,2,0,1,0,0,37
"Cell Biology Nucleic Acid and Peptide Aptamers: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-89-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology PCR Sequencing Protocols","Humana Press","SpringerProtocols","978-0-89603-344-3","",0,0,0,1,25,0,0,0,0,1,0,0,27
"Cell Biology Peptidomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-534-7","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Phylogenomics","Humana Press","SpringerProtocols","978-1-58829-764-8","",1,0,0,0,15,0,0,0,0,1,0,0,17
"Cell Biology Pichia Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-421-1","",0,5,5,2,3,0,2,4,0,0,1,0,22
"Cell Biology Potassium Channels: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-65-7","",1,1,3,1,23,3,2,0,0,0,1,0,35
"Cell Biology Protocols for Neural Cell Culture","Humana Press","SpringerProtocols","978-0-89603-902-5","",2,0,3,2,1,28,2,0,1,1,2,2,44
"Cell Biology Quantitative PCR Protocols","Humana Press","SpringerProtocols","978-0-89603-518-8","",0,0,0,0,0,20,0,0,0,0,0,0,20
"Cell Biology RNA Isolation and Characterization Protocols","Humana Press","SpringerProtocols","978-0-89603-494-5","",4,2,0,2,33,1,0,1,0,3,0,0,46
"Cell Biology RNA-Protein Interaction Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-419-7","",8,10,35,6,28,1,0,3,20,3,3,3,120
"Cell Biology RNA-Protein Interaction Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-568-3","",10,2,9,1,36,4,0,2,1,4,4,1,74
"Cell Biology Receptor Signal Transduction Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-329-9","",0,1,0,1,25,1,27,0,0,0,1,0,56
"Cell Biology Redox-Mediated Signal Transduction: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Riboswitches: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-88-6","",0,0,0,0,0,0,0,0,0,0,0,1,1
"Cell Biology Signal Transduction Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-298-9","",0,0,0,0,23,0,0,2,1,24,5,0,55
"Cell Biology Signal Transduction Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-245-2","",0,0,1,0,23,6,1,0,2,2,1,0,36
"Cell Biology Single Cell Diagnostics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-578-1","",0,0,0,0,1,13,0,0,0,1,0,1,16
"Cell Biology Species Diagnostics Protocols: PCR and Other Nucleic acid Methods","Humana Press","SpringerProtocols","978-0-89603-323-8","",0,0,0,0,28,0,0,0,0,0,0,0,28
"Cell Biology Spectroscopic Methods and Analyses: NMR, Mass Spectrometry, and Metalloprotein Techniques","Humana Press","SpringerProtocols","978-0-89603-215-6","",1,0,3,1,18,3,0,0,0,4,4,1,35
"Cell Biology Stem Cell Assays","Humana Press","SpringerProtocols","978-1-58829-744-0","",3,1,1,1,24,0,0,2,0,26,0,0,58
"Cell Biology Stem Cells in Regenerative Medicine","Humana Press","SpringerProtocols","978-1-58829-797-6","",5,2,1,2,26,0,2,1,1,31,29,0,100
"Cell Biology Steroid Receptor Methods: Protocols and Assays","Humana Press","SpringerProtocols","978-0-89603-754-0","",0,0,0,0,26,1,0,2,3,0,0,0,32
"Cell Biology Stress Response: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-611-6","",0,0,2,1,32,0,0,0,1,0,0,0,36
"Cell Biology Techniques in Cell Cycle Analysis","Humana Press","SpringerProtocols","978-0-89603-097-8","",3,0,1,0,0,12,0,0,0,0,0,0,16
"Cell Biology Telomerase Inhibition: Strategies and Protocols","Humana Press","SpringerProtocols","978-1-58829-683-2","",0,0,0,0,16,1,1,0,0,0,2,1,21
"Cell Biology The Nuclear Receptor Superfamily: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-574-3","",0,0,3,0,15,0,0,1,0,1,1,1,22
"Cell Biology Topics in Biostatistics","Humana Press","SpringerProtocols","978-1-58829-531-6","",0,8,50,0,23,0,1,0,0,0,23,0,105
"Cell Biology Transforming Growth Factor-Beta Protocols","Humana Press","SpringerProtocols","978-0-89603-646-8","",0,0,0,13,13,0,0,0,0,0,0,0,26
"Cell Biology Transmembrane Signaling Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-488-4","",0,1,0,0,26,0,1,2,0,2,1,0,33
"Cell Biology Transmembrane Signaling Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-546-0","",1,2,5,3,23,3,0,1,0,1,1,0,40
"Cell Biology Trinucleotide Repeat Protocols","Humana Press","SpringerProtocols","978-1-58829-243-8","",0,0,0,0,24,0,0,0,2,0,0,0,26
"Cell Biology Two-Dimensional Electrophoresis Protocols","Humana Press","SpringerProtocols","978-1-58829-937-6","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cell Biology Wnt Signaling","Humana Press","SpringerProtocols","978-1-60327-468-5","",0,0,0,0,0,0,0,0,0,19,0,0,19
"Cell Biology Xenopus Protocols: Cell Biology and Signal Transduction","Humana Press","SpringerProtocols","978-1-58829-362-6","",1,4,1,0,0,3,0,1,0,1,1,1,13
"Genetics_Genomics 2D PAGE: Sample Preparation and Fractionation - 2","Humana Press","SpringerProtocols","978-1-58829-722-8","",1,4,45,2,37,10,2,3,2,45,6,5,162
"Genetics_Genomics Basic DNA and RNA Protocols","Humana Press","SpringerProtocols","978-0-89603-402-0","",2,0,0,0,59,2,0,4,0,61,1,1,130
"Genetics_Genomics C. elegans: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-597-2","",2,2,0,19,22,0,3,3,2,24,1,1,79
"Genetics_Genomics Cardiac Cell and Gene Transfer: Principles, Protocols, and Applications","Humana Press","SpringerProtocols","978-0-89603-994-0","",2,0,0,20,19,0,0,0,0,2,1,1,45
"Genetics_Genomics Cardiac Gene Expression: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-352-7","",4,2,0,24,26,2,2,0,0,0,2,0,62
"Genetics_Genomics Cardiovascular Genomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-246-9","",0,0,0,0,0,0,0,0,0,1,0,0,1
"Genetics_Genomics Chemical Genomics: Reviews and Protocols","Humana Press","SpringerProtocols","978-1-58829-399-2","",0,4,1,3,23,0,0,1,1,1,0,1,35
"Genetics_Genomics Chromatin Immunoprecipitation Assays: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-413-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Chromosomal Mutagenesis","Humana Press","SpringerProtocols","978-1-58829-899-7","",2,5,1,2,18,2,0,0,2,5,2,0,39
"Genetics_Genomics Chromosome Analysis Protocols","Humana Press","SpringerProtocols","978-0-89603-289-7","",0,0,0,0,27,2,1,0,1,0,0,0,31
"Genetics_Genomics Clinical Applications of PCR - 1","Humana Press","SpringerProtocols","978-0-89603-499-0","",1,0,0,0,0,28,0,1,1,2,0,0,33
"Genetics_Genomics Clinical Applications of PCR - 2","Humana Press","SpringerProtocols","978-1-58829-348-0","",0,0,0,20,15,2,0,1,0,1,0,0,39
"Genetics_Genomics Comparative Genomics - 1","Humana Press","SpringerProtocols","978-1-58829-693-1","",4,0,1,2,33,0,8,1,2,1,0,0,52
"Genetics_Genomics Comparative Genomics - 2","Humana Press","SpringerProtocols","978-1-934115-37-4","",0,0,0,1,33,0,2,1,0,1,0,0,38
"Genetics_Genomics Computer Analysis of Sequence Data: Part I","Humana Press","SpringerProtocols","978-0-89603-246-0","",0,0,0,0,29,0,0,0,0,2,0,0,31
"Genetics_Genomics Computer Analysis of Sequence Data: Part II","Humana Press","SpringerProtocols","978-0-89603-276-7","",0,0,0,0,31,0,0,0,0,0,0,0,31
"Genetics_Genomics DNA Arrays: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-822-6","",0,0,0,0,17,0,0,0,0,0,0,0,17
"Genetics_Genomics DNA Methylation Protocols","Humana Press","SpringerProtocols","978-0-89603-618-5","",1,0,0,1,15,0,0,0,0,0,0,0,17
"Genetics_Genomics DNA Methylation: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-61-9","",4,5,3,3,31,0,3,1,1,3,7,6,67
"Genetics_Genomics DNA Microarrays for Biomedical Research: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-69-5","",0,0,0,0,0,0,0,0,0,0,1,0,1
"Genetics_Genomics DNA Repair Protocols: Mammalian Systems","Humana Press","SpringerProtocols","978-1-58829-513-2","",1,0,0,0,32,0,1,0,0,1,0,0,35
"Genetics_Genomics DNA Repair Protocols: Prokaryotic Systems","Humana Press","SpringerProtocols","978-0-89603-643-7","",0,0,0,0,16,8,6,0,3,0,2,0,35
"Genetics_Genomics DNA Sequencing Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-248-4","",0,0,0,0,39,0,0,0,1,1,0,0,41
"Genetics_Genomics DNA Sequencing Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-716-8","",0,0,0,0,15,0,0,0,0,0,2,1,18
"Genetics_Genomics DNA Topoisomerase Protocols : Volume II: Enzymology and Drugs","Humana Press","SpringerProtocols","978-0-89603-512-6","",0,0,0,1,30,1,1,0,0,0,0,0,33
"Genetics_Genomics DNA Topoisomerase Protocols: Volume I: DNA Topology and Enzymes","Humana Press","SpringerProtocols","978-0-89603-444-0","",0,0,0,0,29,0,0,0,0,0,1,1,31
"Genetics_Genomics DNA Topoisomerases: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-339-8","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics DNA Vaccines: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-580-5","",0,0,0,0,0,41,0,0,0,0,0,0,41
"Genetics_Genomics DNA Viruses: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-353-4","",2,0,0,0,30,1,0,0,0,0,2,0,35
"Genetics_Genomics DNA and RNA Profiling in Human Blood: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-93-0","",6,3,3,1,21,3,3,0,0,0,0,0,40
"Genetics_Genomics DNA-Protein Interactions: Principles and Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-256-9","",0,1,2,1,0,1,1,0,0,1,1,0,8
"Genetics_Genomics DNA-Protein Interactions: Principles and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-625-3","",2,2,5,7,45,5,1,1,1,3,0,3,75
"Genetics_Genomics DNA-Protein Interactions: Principles and Protocols, Third Edition","Humana Press","SpringerProtocols","978-1-60327-014-4","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Genetics_Genomics Directed Evolution Library Creation: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-285-8","",0,2,3,0,26,0,0,0,0,1,1,1,34
